character you 're going to read 96
did n't know a thing about 3
that had nothing to do with 3
it wo n't be long now 3
did n't have to worry about 3
there 'll be plenty of time 3
'll be plenty of time for 3
was in a hurry to get 3
old enough to be her father 3
the story so far eleven yearold 3
story so far eleven yearold lily 3
to ancient crete where women and 3
there was nothing more to say 3
i 'm so glad to see 3
'm so glad to see you 3
man one giant leap for mankind 3
so far eleven yearold lily learns 3
far eleven yearold lily learns that 3
eleven yearold lily learns that her 3
yearold lily learns that her flute 3
lily learns that her flute teacher 3
zinn can time travel to the 3
can time travel to the past 3
do n't want to go home 3
i 'll tell you the whole 3
'll tell you the whole story 3
that does n't mean it 's 3
does n't mean it 's right 3
as i fly high in the 3
i fly high in the sky 3
you i do n't want you 3
she did n't want them to 3
and i do n't like it 3
do n't think i 've ever 3
at the opposite end of the 3
i do n't know how many 3
do n't know if they 're 3
he does n't know what to 3
kept a still tongue in my 3
a still tongue in my head 3
for a moment i thought she 3
put another log on the fire 3
it was as if they were 3
to be on the safe side 3
on the side of his face 3
you 're going to make a 3
got up and went to the 3
and went to the hearth where 3
do n't make this a thing 3
n't make this a thing between 3
make this a thing between boston 3
this a thing between boston and 3
a thing between boston and philadelphia 3
but that 's what it is 3
the way she said it made 3
way she said it made me 3
do n't want to see you 3
did n't have long to wait 3
walked down the hall to the 3
i know how to do it 3
of course there would be a 3
course there would be a party 3
are n't the only ones who 3
do you think i do n't 3
i did n't think it was 3
took a deep breath and let 3
when she opened her eyes the 3
he shook his head trying to 3
i 'll see you in the 3
the only one who could help 3
do n't have to listen to 3
and rested her chin on her 3
's no such thing as a 3
as far as she could see 3
from the city of the gods 3
was nothing she could say to 3
would you like to go for 3
you like to go for a 3
go for a walk in the 3
i 'm sorry i did n't 3
to the rim of the hole 3
and i do n't think i 3
i do n't think it will 3
made her feel as if she 3
the new wife and her daughters 3
the more she thought about it 3
more she thought about it the 3
put his hands in his pockets 3
am i going to tell my 3
he was killed in the war 3
standing in front of the mirror 3
do n't step on the vines 3
but she did not want to 3
up and walked over to the 3
work at don and dora 's 3
on a bronze monument in front 3
a bronze monument in front of 3
bronze monument in front of the 3
monument in front of the city 3
and covered her face with her 3
covered her face with her hands 3
sat in the shade of a 3
did n't know what he was 3
the first time in a while 3
why do n't you let me 3
you do n't want to mess 3
do n't want to mess with 3
know you do n't want to 3
am i going to have to 3
you 're not going to kill 3
there 's something wrong with me 3
i 'm going to teach you 3
do n't understand any of this 3
when i walked into the kitchen 3
you look so much like your 3
reached into the pocket of his 3
i want you to tell me 3
i do n't think you should 3
i ca n't let you do 3
and i did n't know how 3
do n't you think it 's 3
in the middle of the hallway 3
it was the middle of the 3
he did n't seem to notice 3
is that all you have to 3
that all you have to say 3
i knew he was n't going 3
i do n't know why you 3
what do you like to do 3
get to know each other better 3
was n't going to like it 3
to get out of the house 3
to stay out of the way 3
do n't worry about it she 3
n't worry about it she said 3
to tell the truth i was 3
he 's not the only one 3
out of the room and down 3
of the room and down the 3
the room and down the stairs 3
do n't want him in here 3
i did n't answer right away 3
do you want to be when 3
you want to be when you 3
want to be when you grow 3
there 's nothing you can do 3
are the only one who can 3
he did n't want to be 3
no matter how hard i tried 3
my mother and my brothers ' 3
mother and my brothers ' wives 3
as the king 's own kin 3
corner of my eye i saw 3
me as if i were a 3
if it were n't for my 3
you will call down dragons for 3
i would like to see that 3
that i did n't have to 3
not allowed to go to the 3
do you have any idea what 3
the sign of the cat 's 3
sign of the cat 's face 3
when i woke up i was 3
it was about the size of 3
the oak with the red door 3
stood at the top of the 3
kissed the top of his head 3
i 'll make it up to 3
'll make it up to you 3
that 's no way to talk 3
we do it all the time 3
did n't really want to see 3
it would be nice to have 3
would be nice to have a 3
i 'll tell you what happened 3
's only one way to find 3
on the ground next to the 3
been buying three musketeers bars lately 3
as if he were going to 3
i 'm looking forward to a 3
hadley did n't know what to 3
do n't you want me to 3
'm the only one who can 3
the rest of the way to 3
had been madly in love with 3
bun at the back of her 3
i looked in the mirror and 3
i would never let that happen 3
she wondered if she would ever 3
wo n't have to go to 3
are you going to do with 3
where do you want to go 3
i 've got to get to 3
did n't want to go back 3
do n't you ever want to 3
know what he 's talking about 3
at least i wo n't be 3
the last thing any of us 3
want to be when i grow 3
to be when i grow up 3
the other side of the wall 3
not to mention the fact that 3
looks like he 's going to 3
at the end of the road 3
was the last day of school 3
on the edge of the bed 3
to the side of the monastery 3
i look up at the tower 3
i thought you said you were 3
to the end of the hallway 3
a few feet in front of 3
it was just a matter of 3
i 'll pick you up in 3
's no way i 'm going 3
to take a look at the 3
but i 'm not sure i 3
what do you mean you do 3
do you mean you do n't 3
n't know whether to laugh or 3
know whether to laugh or cry 3
have to go back to school 3
think i 'm going to be 3
on the wrong side of the 3
to the top of the mesa 3
as if she were trying to 3
've got to get out of 3
to figure out a way to 3
for the better part of a 3
ran to the top of the 3
the back of her head and 3
she had n't been able to 3
we 'll be able to see 3
before he knew it he was 3
to the front of the house 3
my hearth and heart shall evermore 3
hearth and heart shall evermore be 3
and heart shall evermore be open 3
heart shall evermore be open to 3
shall evermore be open to her 3
evermore be open to her need 3
one ear of grain two ears 3
ear of grain two ears of 3
of grain two ears of grain 3
grain two ears of grain three 3
two ears of grain three and 3
ears of grain three and another 3
of grain three and another make 3
grain three and another make four 3
as far as he could see 3
would never do such a thing 3
never heard of such a thing 3
we must find a way to 3
pebble and threw it into the 3
could n't stand it any longer 3
i 'm not going to the 3
there 's no one out there 3
i 'll show all of you 3
'll show all of you who 3
show all of you who caidy 3
all of you who caidy really 3
of you who caidy really is 3
you mean to tell me that 3
i 've come a long way 3
she knew it would n't be 3
it would n't be the same 3
do n't you want to know 3
i do n't think i 'd 3
i 'd like to talk to 3
'd like to talk to you 3
at the nape of her neck 3
her hand over her mouth and 3
i 'm taking you to the 3
when i was young i was 3
i wanted to ask if you 3
in the blink of an eye 3
a door at the end of 3
's what we 're going to 3
oh i just ca n't wait 3
i 'm sorry i lost my 3
'm sorry i lost my temper 3
why did other people say i 3
i 'm not so sure i 3
more than anything he wanted to 3
he did n't know what was 3
she did n't want to think 3
i have to get out of 3
what is the meaning of this 3
to tell her what to do 3
she did n't even want to 3
n't even want to think about 3
what was i supposed to do 3
i do n't want them to 3
no i do n't think so 3
do n't want to end up 3
put his head in his hands 3
for the rest of the afternoon 3
get a good night 's sleep 3
n't know what to make of 3
' said cloud rising but what 3
said cloud rising but what you 3
said the lady of wild things 3
i 've never been on a 3
i do n't understand any of 3
he 's not much of a 3
put his hands on his hips 3
his hands on his hips and 3
wanted to get rid of him 3
but i want you to know 3
not if i can help it 3
to the far end of the 3
as she wrapped her arms around 3
he was almost as tall as 3
ipa glanced over her shoulder at 3
wondered what it would be like 3
front of the cacique 's house 3
this time tomorrow i will be 3
ipa felt the blood drain from 3
through the open door of the 3
at her as if she were 3
her as if she were a 3
the last time i saw you 3
in the far corner of the 3
the far corner of the room 3
come and go as you please 3
why would n't you talk to 3
you 're going to have a 3
how do you like it here 3
i 'm sorry but i do 3
'm sorry but i do n't 3
sure you want to do this 3
could n't tell if he was 3
are you going to be a 3
on the way home from the 3
going to talk to you about 3
closed her eyes and held her 3
an idea popped into her head 3
you 're going to be a 3
you will be haunted by three 3
will be haunted by three spirits 3
at the front of the boat 3
how can i make latkes without 3
you do n't mind do you 3
i could n't wait to get 3
but that did n't mean she 3
what i 'm supposed to do 3
there are no such things as 3
after a very long time thomas 3
the widow mcdowell said it was 3
widow mcdowell said it was time 3
mcdowell said it was time to 3
said it was time to leave 3
that evening after a supper of 3
after a supper of boiled potatoes 3
later there was a knock on 3
was a knock on the woodcarver 3
a knock on the woodcarver 's 3
knock on the woodcarver 's door 3
cloth embroidered with lilies of the 3
embroidered with lilies of the valley 3
with lilies of the valley and 3
lilies of the valley and daisies 3
pay attention to the kind of 3
means that you should raise your 3
that you should raise your voice 3
when you see an exclamation point 3
you should say the sentence loudly 3
it haunted me day and night 3
it was not the old man 3
was not the old man who 3
sound a watch makes when it 3
a watch makes when it 's 3
watch makes when it 's wrapped 3
makes when it 's wrapped in 3
when it 's wrapped in cotton 3
i did n't want to miss 3
and gave him a big hug 3
i 'm a big believer in 3
n't have the heart to tell 3
two and a half years ago 3
i do n't know he said 3
pedaled off to catch the wind 3
n't want to go to school 3
to cry but the tears would 3
threw her arms up in the 3
thing that 's ever happened to 3
that 's ever happened to me 3
never hear the end of it 3
the end of the day the 3
georgia baskin a yearold girl who 3
baskin a yearold girl who loves 3
a yearold girl who loves baseball 3
wrigley president of the william wrigley 3
president of the william wrigley jr 3
chewing gum company and owner of 3
gum company and owner of the 3
company and owner of the chicago 3
and owner of the chicago cubs 3
owner of the chicago cubs baseball 3
of the chicago cubs baseball team 3
the chicago cubs baseball team mr 3
sophie kurys a player on the 3
kurys a player on the racine 3
a small town in upstate new 3
small town in upstate new york 3
are playing catch in georgia 's 3
playing catch in georgia 's yard 3
jennie must be frankie 's mitt 3
georgia those special powers wo n't 3
those special powers wo n't protect 3
special powers wo n't protect me 3
powers wo n't protect me if 3
wo n't protect me if frankie 3
n't protect me if frankie catches 3
protect me if frankie catches me 3
me if frankie catches me using 3
if frankie catches me using it 3
tell you about taking my mitt 3
real girls do n't play in 3
girls do n't play in the 3
do n't play in the dirt 3
the news is n't good over 3
news is n't good over in 3
is n't good over in europe 3
the office of philip wrigley in 3
office of philip wrigley in chicago 3
of philip wrigley in chicago illinois 3
wrigley gentlemen let 's face the 3
gentlemen let 's face the facts 3
our best men are on the 3
best men are on the battlefields 3
men are on the battlefields not 3
are on the battlefields not on 3
on the battlefields not on the 3
the battlefields not on the baseball 3
battlefields not on the baseball diamonds 3
biggest stars have enlisted joe dimaggio 3
stars have enlisted joe dimaggio hank 3
have enlisted joe dimaggio hank greenberg 3
more than million american men were 3
than million american men were in 3
million american men were in the 3
american men were in the armed 3
men were in the armed forces 3
were in the armed forces including 3
in the armed forces including half 3
sir president roosevelt himself told us 3
president roosevelt himself told us baseball 3
roosevelt himself told us baseball is 3
himself told us baseball is important 3
told us baseball is important for 3
us baseball is important for americans 3
baseball is important for americans especially 3
is important for americans especially now 3
's why i want to start 3
why i want to start a 3
i want to start a new 3
want to start a new league 3
we 'll find the best girl 3
'll find the best girl players 3
find the best girl players in 3
the best girl players in the 3
best girl players in the country 3
meyerhoff you really think americans want 3
you really think americans want to 3
really think americans want to see 3
think americans want to see their 3
americans want to see their girls 3
wrigley oh we 'll make sure 3
oh we 'll make sure they 3
we 'll make sure they behave 3
'll make sure they behave like 3
make sure they behave like ladies 3
we 'll dress them up in 3
'll dress them up in fetching 3
dress them up in fetching uniforms 3
send them to charm school if 3
them to charm school if need 3
to charm school if need be 3
jennie georgia you are a star 3
did you hear your mother screaming 3
florence at least you have his 3
it sure is bringing you luck 3
georgia i do n't have the 3
i do n't have the mitt 3
do n't have the mitt anymore 3
you 've got quite an arm 3
tryouts are in medford this weekend 3
if we like you we 'll 3
we like you we 'll send 3
like you we 'll send you 3
you we 'll send you to 3
we 'll send you to a 3
'll send you to a final 3
georgia takes the paper from her 3
takes the paper from her pocket 3
the paper from her pocket and 3
paper from her pocket and smoothes 3
from her pocket and smoothes it 3
her pocket and smoothes it out 3
nobody wants to watch girls try 3
wants to watch girls try to 3
to watch girls try to play 3
watch girls try to play baseball 3
gets up and goes to her 3
up and goes to her room 3
baskin women are working in factories 3
women are building airplanes and ships 3
are building airplanes and ships and 3
building airplanes and ships and guns 3
those women are helping us win 3
women are helping us win the 3
are helping us win the war 3
i want her to take it 3
on a bench next to another 3
a bench next to another girl 3
been watching some of these girls 3
a few have been to the 3
few have been to the olympics 3
georgia from what i saw you 3
from what i saw you 're 3
what i saw you 're one 3
i saw you 're one of 3
saw you 're one of the 3
you 're one of the best 3
i 've never wanted anything more 3
georgia calls home with some news 3
they do n't know if he 3
do n't know if he 'll 3
and make the most of it 3
game between our own racine belles 3
between our own racine belles and 3
our own racine belles and the 3
own racine belles and the ferocious 3
racine belles and the ferocious rockford 3
my heart jumped out of my 3
heart jumped out of my chest 3
baskin no no he 's doing 3
no no he 's doing fine 3
they 've transferred him to san 3
've transferred him to san francisco 3
baskin frank sent something home for 3
i knew it would bring him 3
knew it would bring him luck 3
he paid a visit to frank 3
paid a visit to frank 's 3
a visit to frank 's hospital 3
visit to frank 's hospital and 3
to frank 's hospital and frank 3
frank 's hospital and frank got 3
's hospital and frank got him 3
hospital and frank got him to 3
and frank got him to sign 3
frank got him to sign the 3
got him to sign the mitt 3
him to sign the mitt again 3
georgia reading to georgia baskin a 3
reading to georgia baskin a fellow 3
to georgia baskin a fellow pro 3
i 'm so glad to be 3
every time i look at the 3
time i look at the clouds 3
i look at the clouds in 3
look at the clouds in the 3
at the clouds in the sky 3
the clouds in the sky i 3
clouds in the sky i know 3
in the sky i know i 3
the sky i know i want 3
sky i know i want to 3
i know i want to be 3
know i want to be a 3
i want to be a pilot 3
i 'll just have to be 3
how did you feel when you 3
the old days of mystery inc 3
i would have gotten away with 3
would have gotten away with it 3
he closed his eyes and tried 3
closed his eyes and tried to 3
all we have to do is 3
a handmade coat and hat for 3
handmade coat and hat for the 3
of whatever the tsar gives you 3
one third of whatever the tsar 3
third of whatever the tsar gives 3
what does that have to do 3
stood in front of the mirror 3
've been meaning to talk to 3
been meaning to talk to you 3
meaning to talk to you about 3
the wrong place at the wrong 3
wrong place at the wrong time 3
the back door of the restaurant 3
that 's why i did n't 3
mummy please do stop that cooking 3
treated like a second class citizen 3
she does n't know what to 3
when it was time for the 3
a piece of paper from his 3
it is a very fine morning 3
i 'm going to go to 3
why do n't you go and 3
are we going to do with 3
i still ca n't believe it 3
though i did n't want to 3
i did n't want to go 3
the big cat was coming and 3
big cat was coming and coming 3
cat was coming and coming soon 3
i did n't want to leave 3
i looked at myself in the 3
looked at myself in the mirror 3
no idea what she was talking 3
idea what she was talking about 3
that 's how it 's done 3
to go to the store and 3
and came back with a bag 3
and before i knew it i 3
i was going to be okay 3
on the end of her nose 3
in the center of the table 3
she made her way to the 3
do n't you tell me what 3
we 're running out of time 3
times do i have to tell 3
the end of the school day 3
it 's none of your business 3
you want to know what i 3
arizona stories in upcoming issues of 3
stories in upcoming issues of highlights 3
all the way back to the 3
i mean it 's not like 3
what 's going to happen next 3
as students read ask them to 3
door at the top of the 3
the story and your own ideas 3
objectives after reading this play students 3
after reading this play students should 3
reading this play students should be 3
i could stay young and handsome 3
the face you painted has been 3
face you painted has been punished 3
you painted has been punished for 3
painted has been punished for every 3
has been punished for every evil 3
the man i 'm looking for 3
with a knife in his heart 3
what can you conclude about the 3
reproducible for this activity at www 3
how are you going to pay 3
but he does n't want to 3
said in his deep superhero like 3
in his deep superhero like voice 3
all in a day 's work 3
it 's not a good idea 3
which way are we going dynamites 3
i ca n't take it anymore 3
in front of a fire in 3
front of a fire in the 3
i feel like i 'm going 3
feel like i 'm going to 3
said i do n't want to 3
there was a little girl named 3
's not the end of the 3
's going to be all right 3
characters were real persons except those 3
were real persons except those marked 3
and the home of the brave 3
how do you feel about the 3
say the sentence loudly with feeling 3
well i do n't know about 3
did n't know how to swim 3
n't take no for an answer 3
they wo n't be able to 3
that 's why i 'm going 3
's why i 'm going to 3
you 've seen on the news 3
've seen on the news what 3
seen on the news what 's 3
on the news what 's happening 3
the news what 's happening in 3
news what 's happening in some 3
what 's happening in some parts 3
's happening in some parts of 3
happening in some parts of the 3
in some parts of the south 3
what kind of cookies would you 3
kind of cookies would you like 3
come on i 'll show you 3
was standing in the middle of 3
in the bottom of the boat 3
well do n't just stand there 3
i 'll have a talk with 3
the woman with the sound equipment 3
does n't have anything to do 3
to do with the fact that 3
does that have to do with 3
n't like the sound of this 3
but on the first day of 3
perhaps it would be best if 3
out here in the middle of 3
why do you want me to 3
do n't know how to make 3
the blame will be placed on 3
blame will be placed on you 3
sat on the edge of the 3
had to crane her neck to 3
looked at each other in surprise 3
because i do n't want to 3
and nobody at the north pole 3
nobody at the north pole will 3
at the north pole will have 3
if i do n't do something 3
his long dead partner jacob marley 3
i will honor christmas in my 3
will honor christmas in my heart 3
could i have been so blind 3
but this is the first time 3
this is the first time i 3
in the order in which they 3
i do n't know if this 3
about it why do you think 3
i just wanted to see if 3
go on get out of here 3
fred do n't be angry uncle 3
a coffin is being lowered into 3
coffin is being lowered into the 3
is being lowered into the ground 3
what you 're going to do 3
she was daring to be different 3
but you 'll have to be 3
looked at each other and then 3
and there was no sign of 3
it looked as if he was 3
n't even know who he is 3
'll think of a way to 3
i woke up in the hospital 3
i really do n't know what 3
i was going to tell you 3
it did n't take long to 3
you want to be one of 3
do n't have a lot of 3
i wo n't say a word 3
and his father arrived at the 3
class on the first day of 3
so what do you want to 3
another ant came and took another 3
ant came and took another grain 3
came and took another grain of 3
and took another grain of rice 3
is on the other side of 3
is not what i want to 3
not what i want to eat 3
do n't know if i 'll 3
what are you called human being 3
as long as i can remember 3
makes his way through the crowd 3
was in the middle of a 3
at me like i was the 3
i 'll take you to the 3
sidebar talk about it why do 3
what did you do that for 3
do n't like some of the 3
he will not rest until he 3
i could really go for a 3
i do n't want to stay 3
after all the women 's rights 3
all the women 's rights movements 3
what do you think about the 3
rome was n't built in a 3
if you do n't i 'll 3
at the bottom of the sea 3
when i got back to the 3
you 're going to need a 3
in front of lianna 's house 3
allowed to go to the same 3
i 'm proud of you for 3
i want you to go to 3
off in the direction of the 3
the only one who can save 3
a room at the end of 3
to find out what happens next 3
all the way to the u 3
at the end of the school 3
defined here are in the play 3
at the end of the sentence 3
opens the front door and sees 3
because i did n't want to 3
before the end of the first 3
'm sorry for what i did 3
language arts standards understanding character identifying 3
entries and send each writer a 3
and send each writer a copy 3
send each writer a copy of 3
at the beginning of the story 3
the following activities that can be 3
following activities that can be used 3
activities that can be used with 3
that can be used with this 3
can be used with this story 3
i ca n't wait to see 3
cut one blade of my hay 3
one blade of my hay and 3
blade of my hay and i 3
of my hay and i 'll 3
my hay and i 'll cook 3
hay and i 'll cook you 3
and i 'll cook you in 3
i 'll cook you in my 3
'll cook you in my stew 3
she tried not to think about 3
first day at his new school 3
on the school bus dana a 3
the school bus dana a bully 3
roy 's face into the window 3
police officer delinko around a vacant 3
officer delinko around a vacant lot 3
to build a mother paula 's 3
build a mother paula 's pancake 3
a mother paula 's pancake house 3
a hand yanks him into the 3
hand yanks him into the brush 3
who are you and why are 3
are you and why are you 3
you and why are you here 3
muckle is vice president of development 3
is vice president of development for 3
vice president of development for mother 3
president of development for mother paula 3
of development for mother paula 's 3
why is that pancake house in 3
is that pancake house in coconut 3
that pancake house in coconut cove 3
pancake house in coconut cove behind 3
house in coconut cove behind schedule 3
one hundred will set a company 3
hundred will set a company record 3
but what about those little owls 3
what about those little owls i 3
about those little owls i see 3
those little owls i see in 3
little owls i see in the 3
owls i see in the burrows 3
beatrice we wrote to the company 3
named muckle wrote back saying they 3
muckle wrote back saying they have 3
wrote back saying they have permits 3
back saying they have permits to 3
saying they have permits to build 3
beatrice and roy take mullet fingers 3
and roy take mullet fingers to 3
roy take mullet fingers to the 3
trying to save the burrowing owls 3
if the pancake house people bulldoze 3
the pancake house people bulldoze the 3
pancake house people bulldoze the lot 3
house people bulldoze the lot they 3
people bulldoze the lot they 'll 3
the owls ca n't fight for 3
owls ca n't fight for themselves 3
roy my dad said mother paula 3
my dad said mother paula 's 3
dad said mother paula 's can 3
said mother paula 's can build 3
mother paula 's can build whatever 3
paula 's can build whatever they 3
's can build whatever they want 3
ever since i was a little 3
i was a little kid i 3
was a little kid i 've 3
a little kid i 've watched 3
little kid i 've watched this 3
kid i 've watched this place 3
i 've watched this place disappear 3
've watched this place disappear the 3
watched this place disappear the piney 3
this place disappear the piney woods 3
place disappear the piney woods the 3
disappear the piney woods the mangrove 3
the piney woods the mangrove trees 3
piney woods the mangrove trees the 3
woods the mangrove trees the creeks 3
from bulldozing from one coast to 3
bulldozing from one coast to the 3
from one coast to the other 3
site mullet fingers watches someone spray 3
mullet fingers watches someone spray a 3
fingers watches someone spray a fire 3
watches someone spray a fire extinguisher 3
someone spray a fire extinguisher into 3
muckle aims the extinguisher at mullet 3
aims the extinguisher at mullet fingers 3
there 's a knock on the 3
's a knock on the door 3
crowd gathers for the groundbreaking ceremony 3
mayor coconut cove welcome to the 3
coconut cove welcome to the future 3
cove welcome to the future home 3
welcome to the future home of 3
that means construction needs to be 3
means construction needs to be shut 3
construction needs to be shut down 3
mother paula 's ca n't build 3
paula 's ca n't build on 3
's ca n't build on this 3
ca n't build on this spot 3
a loud sound startles the crowd 3
step down from that bulldozer sir 3
roy mullet fingers and beatrice step 3
mullet fingers and beatrice step in 3
fingers and beatrice step in front 3
and beatrice step in front of 3
beatrice step in front of the 3
step in front of the bulldozer 3
you want to bury those owls 3
want to bury those owls you 3
to bury those owls you 're 3
bury those owls you 're going 3
those owls you 're going to 3
owls you 're going to have 3
're going to have to bury 3
going to have to bury us 3
to have to bury us too 3
across the lot tiny owls pop 3
the lot tiny owls pop out 3
lot tiny owls pop out of 3
mother paula mayor i donate this 3
paula mayor i donate this land 3
mayor i donate this land to 3
i donate this land to coconut 3
donate this land to coconut cove 3
beatrice to roy can she do 3
to roy can she do that 3
if they build that pancake place 3
n on the other side of 3
i 'd like to see the 3
some is good but more is 3
who could ever have too many 3
could ever have too many hamantaschen 3
he folded the edges of each 3
folded the edges of each circle 3
the edges of each circle so 3
edges of each circle so that 3
of each circle so that it 3
each circle so that it became 3
circle so that it became a 3
so that it became a triangle 3
why did n't you stand up 3
why do you all push us 3
do you all push us around 3
but the law is the law 3
the law is the law and 3
law is the law and you 3
of the women 's political council 3
it was going to be a 3
on the back of the door 3
in such a hurry that he 3
a black band across the back 3
black band across the back of 3
band across the back of its 3
across the back of its head 3
knew what she was talking about 3
from all over the world to 3
there 's no way we can 3
when she was supposed to be 3
are you going to tell me 3
he was old enough to be 3
was old enough to be her 3
i thought i was a goner 3
there was such a thing as 3
was such a thing as a 3
i did n't know whether to 3
looked up in time to see 3
was all he could do to 3
would n't have been able to 3
i 'm going to call the 3
not a day goes by when 3
years and fifty one weeks ago 3
i never thought i 'd see 3
i can get it out of 3
the house on old mill lane 3
let 's go let 's go 3
at the edge of the pond 3
i 'll see you in a 3
at the corner of her mouth 3
and what will you get ben 3
what will you get ben illurak 3
jim checking his watch i must 3
i 'm going to blow them 3
'm going to blow them away 3
behind the paneling in the sidewall 3
the paneling in the sidewall of 3
the coins in piles and the 3
coins in piles and the piles 3
in piles and the piles in 3
piles and the piles in rows 3
then i counted the coins and 3
i counted the coins and thought 3
counted the coins and thought about 3
the coins and thought about the 3
was the only one who did 3
i 've been looking for you 3
i do n't see why i 3
i 'll give you my apple 3
tom i was in the graveyard 3
i really did n't want to 3
with a mighty shout grandpa heaved 3
a mighty shout grandpa heaved the 3
mighty shout grandpa heaved the swamp 3
shout grandpa heaved the swamp dragon 3
grandpa heaved the swamp dragon out 3
heaved the swamp dragon out of 3
the swamp dragon out of the 3
swamp dragon out of the boat 3
at the same moment two gigantic 3
the same moment two gigantic jaws 3
same moment two gigantic jaws popped 3
moment two gigantic jaws popped out 3
two gigantic jaws popped out of 3
gigantic jaws popped out of the 3
jaws popped out of the water 3
do n't count your chickens before 3
n't count your chickens before they 3
count your chickens before they hatch 3
isabel what she wanted for breakfast 3
isabel if she wanted a ride 3
if she wanted a ride to 3
she wanted a ride to school 3
isabel if she wanted to pass 3
if she wanted to pass out 3
she wanted to pass out the 3
wanted to pass out the papers 3
isabel if she wanted to play 3
said oh i suppose you do 3
oh i suppose you do n't 3
i suppose you do n't care 3
started to ask isabel if she 3
to ask isabel if she wanted 3
'm getting my very own library 3
getting my very own library card 3
my very own library card today 3
have you come back for your 3
you come back for your beating 3
come back for your beating son 3
i do n't know what the 3
it must be some kind of 3
do n't breathe a word of 3
she did n't think it was 3
tried not to think about what 3
i 've come to take you 3
jamal blasts past his opponent for 3
blasts past his opponent for a 3
past his opponent for a dunk 3
the ground in front of him 3
but maybe you can help me 3
it 's called a season of 3
's called a season of faith 3
called a season of faith 's 3
it 's the night of the 3
thought it would be funny to 3
two hundred and fifty thousand dollars 3
when she did n't get her 3
she did n't get her way 3
ca n't wait to tell my 3
response activity on page and send 3
page and send it to us 3
at the right onto a separate 3
the right onto a separate piece 3
right onto a separate piece of 3
onto a separate piece of paper 3
a separate piece of paper filling 3
separate piece of paper filling in 3
piece of paper filling in the 3
of paper filling in the blanks 3
paper filling in the blanks with 3
filling in the blanks with events 3
when you 're finished you will 3
you 're finished you will have 3
're finished you will have a 3
finished you will have a perfectly 3
you will have a perfectly crafted 3
will have a perfectly crafted review 3
have a perfectly crafted review of 3
a perfectly crafted review of this 3
perfectly crafted review of this story 3
similar to the following i just 3
to the following i just read 3
a poisonous duck at the lake 3
n a few weeks later the 3
you do n't have a choice 3
a person 's a person no 3
person 's a person no matter 3
's a person no matter how 3
a person no matter how small 3
i do n't think he 's 3
starting in the middle of the 3
i want to show you something 3
to thine own self be true 3
we would n't want you to 3
i 'm going to make a 3
you want to come with me 3
jason asked me to come over 3
scene n hannah trevor and sean 3
my father is as dear as 3
did n't have much money but 3
they need to be shortened only 3
need to be shortened only the 3
to be shortened only the length 3
be shortened only the length of 3
shortened only the length of a 3
i do n't have a present 3
do n't have a present for 3
've run away from a grill 3
run away from a grill full 3
away from a grill full of 3
from a grill full of grub 3
i 've run away from itty 3
've run away from itty bitty 3
run away from itty bitty baby 3
and i 'll run away from 3
i 'll run away from you 3
'll run away from you too 3
i do n't like to be 3
fluency tip shared reading need to 3
tip shared reading need to become 3
pick a partner to read with 3
a partner to read with you 3
sit next to each other as 3
get that thing away from me 3
it 's the only way to 3
the ship docks at magician 's 3
ship docks at magician 's island 3
lucy why do n't you read 3
why do n't you read it 3
do n't you read it yourself 3
lucy goes inside the house and 3
goes inside the house and reads 3
inside the house and reads the 3
the house and reads the spell 3
suddenly a big lion is standing 3
a big lion is standing in 3
big lion is standing in front 3
lion is standing in front of 3
is standing in front of her 3
lucy what are you doing here 3
your spell made the creatures visible 3
but i 'm always with you 3
i 'm always with you lucy 3
what did you do to my 3
did you do to my creatures 3
i made them invisible to protect 3
made them invisible to protect them 3
them invisible to protect them from 3
invisible to protect them from the 3
comes from a place called dark 3
from a place called dark island 3
if it finds you it will 3
lucy how do we stop it 3
follow the blue star in the 3
the blue star in the sky 3
take them to asian 's table 3
evil will try to stop you 3
caspian lucy and edmund set out 3
lucy and edmund set out to 3
and edmund set out to look 3
a golden statue of a man 3
golden statue of a man is 3
statue of a man is at 3
of a man is at the 3
a man is at the bottom 3
man is at the bottom of 3
is at the bottom of it 3
caspian that 's no statue it 3
that 's no statue it 's 3
's no statue it 's one 3
no statue it 's one of 3
statue it 's one of the 3
it 's one of the lords 3
edmund lucy this water is magic 3
other side of the island eustace 3
he falls into a secret valley 3
falls into a secret valley filled 3
into a secret valley filled with 3
a secret valley filled with jewels 3
sees a skeleton wearing a jeweled 3
a skeleton wearing a jeweled bracelet 3
eustace you 're not going to 3
you 're not going to need 3
're not going to need this 3
a green mist rises behind eustace 3
caspian i do n't think so 3
he does n't want to be 3
wraps his big dragon tail around 3
his big dragon tail around the 3
big dragon tail around the front 3
dragon tail around the front of 3
tail around the front of the 3
around the front of the ship 3
there is a place for each 3
is a place for each of 3
a place for each of the 3
place for each of the seven 3
for each of the seven swords 3
edmund and the others put the 3
and the others put the swords 3
the others put the swords together 3
you must go to the dark 3
must go to the dark island 3
go to the dark island and 3
to the dark island and get 3
the dark island and get the 3
dark island and get the final 3
island and get the final sword 3
the group travels to the dark 3
group travels to the dark island 3
then a giant sea monster bursts 3
a giant sea monster bursts out 3
who thought about a sea monster 3
crew tries to fight the monster 3
everyone looks up in the sky 3
up to him to help his 3
to him to help his friends 3
him to help his friends and 3
